# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j1 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/y_j1
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j1 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/y_j1
Title=Rapidity of the leading jet
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
RatioPlotSameStyle=1
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j1
XLabel=$y_{j1}$
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~y_{j1}$~[fb]
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j1
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/y_j1
RatioPlotErrorBandColor=red
ScaledBy=1
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.500000e+00	-4.000000e+00	1.947338e-02	3.273015e-05	3.273015e-05
-4.000000e+00	-3.500000e+00	6.787898e-02	6.326567e-05	6.326567e-05
-3.500000e+00	-3.000000e+00	1.532376e-01	5.872610e-05	5.872610e-05
-3.000000e+00	-2.500000e+00	2.406138e-01	8.963811e-05	8.963811e-05
-2.500000e+00	-2.000000e+00	2.779156e-01	8.940040e-05	8.940040e-05
-2.000000e+00	-1.500000e+00	2.503885e-01	7.447942e-05	7.447942e-05
-1.500000e+00	-1.000000e+00	1.820722e-01	1.468843e-04	1.468843e-04
-1.000000e+00	-5.000000e-01	1.111203e-01	6.660029e-05	6.660029e-05
-5.000000e-01	0.000000e+00	6.753512e-02	7.718715e-05	7.718715e-05
0.000000e+00	5.000000e-01	6.744954e-02	6.766608e-05	6.766608e-05
5.000000e-01	1.000000e+00	1.109927e-01	6.891577e-05	6.891577e-05
1.000000e+00	1.500000e+00	1.822693e-01	1.443715e-04	1.443715e-04
1.500000e+00	2.000000e+00	2.503626e-01	7.769093e-05	7.769093e-05
2.000000e+00	2.500000e+00	2.781125e-01	7.449298e-05	7.449298e-05
2.500000e+00	3.000000e+00	2.405255e-01	7.135154e-05	7.135154e-05
3.000000e+00	3.500000e+00	1.532924e-01	6.229445e-05	6.229445e-05
3.500000e+00	4.000000e+00	6.792068e-02	5.019185e-05	5.019185e-05
4.000000e+00	4.500000e+00	1.949863e-02	3.015467e-05	3.015467e-05
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

