# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT1/run_PY8_10M_mush1_error_all.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT1/run_PY8_10M_mush1_error_scale.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT05/run_PY8_10M_mush05.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DefaultShower.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/pT_j2
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT1/run_PY8_10M_mush1_error_all.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT1/run_PY8_10M_mush1_error_scale.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_PY8_UNC_MUFACT05/run_PY8_10M_mush05.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/Powheg.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/Powheg/lhef.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DefaultShower.yoda/MC_VBSCAN_MCComparison/pT_j2 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/Herwig-MCatNLO-DipoleShower_scale.yoda/MC_VBSCAN_MCComparison/pT_j2
YMax=3e-2
Title=Transverse momentum of the subleading jet (NLO+PS)
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2
RatioPlotSameStyle=1
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
LegendXPos=0.53
XLabel=$p_{\rm T, j_2}$~[GeV]
XMax=500
YLabel=$d~\sigma_{pp\to e^+\nu \mu^+\nu jj}/d~p_{\rm T, j_2}$~[fb/GeV]
XMin=25
YMin=3e-5
LegendYPos=0.99
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2
ErrorBandColor={[rgb]{0.40,0.40,0.40}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.40,0.40,0.40}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/pT_j2
RatioPlotErrorBandColor={[rgb]{0.40,0.40,0.40}}
ScaledBy=1
Title=NLO (fixed order)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	5.000000e+01	8.530263e-03	2.852017e-06	2.852017e-06
5.000000e+01	7.500000e+01	1.179399e-02	2.801870e-06	2.801870e-06
7.500000e+01	1.000000e+02	1.039983e-02	2.781608e-06	2.781608e-06
1.000000e+02	1.250000e+02	7.749977e-03	2.224326e-06	2.224326e-06
1.250000e+02	1.500000e+02	5.339475e-03	1.994895e-06	1.994895e-06
1.500000e+02	1.750000e+02	3.578459e-03	1.472973e-06	1.472973e-06
1.750000e+02	2.000000e+02	2.414444e-03	1.385135e-06	1.385135e-06
2.000000e+02	2.250000e+02	1.652659e-03	1.218707e-06	1.218707e-06
2.250000e+02	2.500000e+02	1.143663e-03	1.064803e-06	1.064803e-06
2.500000e+02	2.750000e+02	8.072729e-04	8.514951e-07	8.514951e-07
2.750000e+02	3.000000e+02	5.764519e-04	8.182196e-07	8.182196e-07
3.000000e+02	3.250000e+02	4.159650e-04	7.124943e-07	7.124943e-07
3.250000e+02	3.500000e+02	3.044287e-04	6.200564e-07	6.200564e-07
3.500000e+02	3.750000e+02	2.257448e-04	6.463497e-07	6.463497e-07
3.750000e+02	4.000000e+02	1.691051e-04	4.990286e-07	4.990286e-07
4.000000e+02	4.250000e+02	1.275655e-04	5.202117e-07	5.202117e-07
4.250000e+02	4.500000e+02	9.624613e-05	4.748297e-07	4.748297e-07
4.500000e+02	4.750000e+02	7.368507e-05	4.239346e-07	4.239346e-07
4.750000e+02	5.000000e+02	5.645839e-05	3.632924e-07	3.632924e-07
5.000000e+02	5.250000e+02	4.422280e-05	5.539330e-07	5.539330e-07
5.250000e+02	5.500000e+02	3.404854e-05	6.873377e-07	6.873377e-07
5.500000e+02	5.750000e+02	2.666203e-05	2.641335e-07	2.641335e-07
5.750000e+02	6.000000e+02	2.111193e-05	4.569206e-07	4.569206e-07
6.000000e+02	6.250000e+02	1.664295e-05	3.172539e-07	3.172539e-07
6.250000e+02	6.500000e+02	1.309357e-05	2.324690e-07	2.324690e-07
6.500000e+02	6.750000e+02	1.042437e-05	2.102195e-07	2.102195e-07
6.750000e+02	7.000000e+02	8.138706e-06	1.828350e-07	1.828350e-07
7.000000e+02	7.250000e+02	6.582145e-06	1.639049e-07	1.639049e-07
7.250000e+02	7.500000e+02	5.161196e-06	1.557975e-07	1.557975e-07
7.500000e+02	7.750000e+02	4.255388e-06	1.449118e-07	1.449118e-07
7.750000e+02	8.000000e+02	3.336580e-06	1.271525e-07	1.271525e-07
8.000000e+02	8.250000e+02	2.752076e-06	1.018146e-07	1.018146e-07
8.250000e+02	8.500000e+02	2.137357e-06	9.346664e-08	9.346664e-08
8.500000e+02	8.750000e+02	1.774617e-06	9.883216e-08	9.883216e-08
8.750000e+02	9.000000e+02	1.588512e-06	8.766700e-08	8.766700e-08
9.000000e+02	9.250000e+02	1.120457e-06	6.581340e-08	6.581340e-08
9.250000e+02	9.500000e+02	8.699982e-07	7.734683e-08	7.734683e-08
9.500000e+02	9.750000e+02	9.957213e-07	2.046668e-07	2.046668e-07
9.750000e+02	1.000000e+03	7.541864e-07	1.224479e-07	1.224479e-07
# END HISTO1D


# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/pT_j2
ErrorBandColor={[rgb]{0.46,0.44,0.70}}
ErrorBandOpacity=0.3
ErrorBands=0
LineColor={[rgb]{0.46,0.44,0.70}}
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/new_results/run_FIX_NLOPS_HWPP_UNC_MUFACT1/run_HWPP_10M_mush1.yoda/MC_VBSCAN_MCComparison/pT_j2
RatioPlotErrorBandColor={[rgb]{0.46,0.44,0.70}}
ScaledBy=2.14720579011889420e-06
Title=MG5_aMC+H++2.7.1
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	5.000000e+01	8.936156e-03	4.080243e-05	4.080243e-05
5.000000e+01	7.500000e+01	1.281195e-02	4.854684e-05	4.854684e-05
7.500000e+01	1.000000e+02	1.095556e-02	4.478839e-05	4.478839e-05
1.000000e+02	1.250000e+02	8.064560e-03	3.834946e-05	3.834946e-05
1.250000e+02	1.500000e+02	5.556968e-03	3.163300e-05	3.163300e-05
1.500000e+02	1.750000e+02	3.718703e-03	2.576719e-05	2.576719e-05
1.750000e+02	2.000000e+02	2.525114e-03	2.117280e-05	2.117280e-05
2.000000e+02	2.250000e+02	1.684526e-03	1.729513e-05	1.729513e-05
2.250000e+02	2.500000e+02	1.189380e-03	1.441490e-05	1.441490e-05
2.500000e+02	2.750000e+02	8.286496e-04	1.206905e-05	1.206905e-05
2.750000e+02	3.000000e+02	5.909968e-04	1.018744e-05	1.018744e-05
3.000000e+02	3.250000e+02	4.219688e-04	8.547929e-06	8.547929e-06
