# BEGIN PLOT
LegendOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_10M_NLOPS.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_pdf.yoda/MC_VBSCAN_MCComparison/z_j3
DrawOnly=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_10M_NLOPS.yoda/MC_VBSCAN_MCComparison/z_j3 //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/MG5_aMC/run_PY8_5M_NLOPS_error_pdf.yoda/MC_VBSCAN_MCComparison/z_j3
YMax=1.2
Title=Normalized average rapidity of the third jet
RatioPlotReference=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_j3
RatioPlotSameStyle=1
RatioPlot=1
LogY=0
RatioPlotYLabel=Ratio
XLabel=$z_{j3}$
XMax=1.5
YLabel=$d~\sigma_{WW\to e^+\nu \mu^+\nu}/d~z_{j3}$~[fb]
XMin=0
YMin=0
Legend=1
# END PLOT

# BEGIN HISTO1D //itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_j3
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
LineColor=red
LineStyle=solid
Path=//itp/scratch/rauch/Projekte/VBFNLO/VBSCAN/VBSComparison/parton-shower/VBFNLO/VBFNLO-NLO.yoda/MC_VBSCAN_MCComparison/z_j3
RatioPlotErrorBandColor=red
ScaledBy=1
Title=NLO
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	9.016075e-02	4.956357e-05	4.956357e-05
5.000000e-02	1.000000e-01	9.974904e-02	5.375040e-05	5.375040e-05
1.000000e-01	1.500000e-01	1.198454e-01	6.033096e-05	6.033096e-05
1.500000e-01	2.000000e-01	1.535806e-01	7.197108e-05	7.197108e-05
2.000000e-01	2.500000e-01	2.056394e-01	9.005510e-05	9.005510e-05
2.500000e-01	3.000000e-01	2.870147e-01	1.279172e-04	1.279172e-04
3.000000e-01	3.500000e-01	4.188700e-01	1.688550e-04	1.688550e-04
3.500000e-01	4.000000e-01	6.171507e-01	2.402636e-04	2.402636e-04
4.000000e-01	4.500000e-01	7.293925e-01	2.787129e-04	2.787129e-04
4.500000e-01	5.000000e-01	6.683700e-01	2.801826e-04	2.801826e-04
5.000000e-01	5.500000e-01	6.982852e-01	2.933674e-04	2.933674e-04
5.500000e-01	6.000000e-01	8.303157e-01	3.350190e-04	3.350190e-04
6.000000e-01	6.500000e-01	7.909873e-01	3.403526e-04	3.403526e-04
6.500000e-01	7.000000e-01	5.931706e-01	2.499560e-04	2.499560e-04
7.000000e-01	7.500000e-01	4.420962e-01	2.028128e-04	2.028128e-04
7.500000e-01	8.000000e-01	3.402600e-01	1.524491e-04	1.524491e-04
8.000000e-01	8.500000e-01	2.656766e-01	1.244350e-04	1.244350e-04
8.500000e-01	9.000000e-01	2.093926e-01	1.048782e-04	1.048782e-04
9.000000e-01	9.500000e-01	1.656124e-01	9.124183e-05	9.124183e-05
9.500000e-01	1.000000e+00	1.312274e-01	7.669036e-05	7.669036e-05
1.000000e+00	1.050000e+00	1.039976e-01	6.650724e-05	6.650724e-05
1.050000e+00	1.100000e+00	8.255713e-02	5.986954e-05	5.986954e-05
1.100000e+00	1.150000e+00	6.529854e-02	5.399064e-05	5.399064e-05
1.150000e+00	1.200000e+00	5.156570e-02	4.356213e-05	4.356213e-05
1.200000e+00	1.250000e+00	4.071818e-02	3.746579e-05	3.746579e-05
1.250000e+00	1.300000e+00	3.207584e-02	3.250065e-05	3.250065e-05
1.300000e+00	1.350000e+00	2.513921e-02	3.029995e-05	3.029995e-05
1.350000e+00	1.400000e+00	1.973718e-02	2.370285e-05	2.370285e-05
