# title = zeppenfled extra jet
# xlabel = $z^*_{j3}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{j3}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 650319662
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.05       0.10  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.10       0.15  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.15       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.20       0.25  0.000000000000000E+00  0.000000000000000E+00 0
   6       0.25       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       0.30       0.35  0.000000000000000E+00  0.000000000000000E+00 0
   8       0.35       0.40  0.000000000000000E+00  0.000000000000000E+00 0
   9       0.40       0.45  0.000000000000000E+00  0.000000000000000E+00 0
  10       0.45       0.50  3.113094700705977E+00  1.105330475679866E+00 726573825
  11       0.50       0.55  3.312585999059102E+01  1.107329149397527E+00 6983522646
  12       0.55       0.60  0.000000000000000E+00  0.000000000000000E+00 0
  13       0.60       0.65  0.000000000000000E+00  0.000000000000000E+00 0
  14       0.65       0.70  0.000000000000000E+00  0.000000000000000E+00 0
  15       0.70       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  16       0.75       0.80  0.000000000000000E+00  0.000000000000000E+00 0
  17       0.80       0.85  0.000000000000000E+00  0.000000000000000E+00 0
  18       0.85       0.90  0.000000000000000E+00  0.000000000000000E+00 0
  19       0.90       0.95  0.000000000000000E+00  0.000000000000000E+00 0
  20       0.95       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  21       1.00       1.05  0.000000000000000E+00  0.000000000000000E+00 0
  22       1.05       1.10  0.000000000000000E+00  0.000000000000000E+00 0
  23       1.10       1.15  0.000000000000000E+00  0.000000000000000E+00 0
  24       1.15       1.20  0.000000000000000E+00  0.000000000000000E+00 0
  25       1.20       1.25  0.000000000000000E+00  0.000000000000000E+00 0
  26       1.25       1.30  0.000000000000000E+00  0.000000000000000E+00 0
  27       1.30       1.35  0.000000000000000E+00  0.000000000000000E+00 0
  28       1.35       1.40  0.000000000000000E+00  0.000000000000000E+00 0
  29       1.40       1.45  0.000000000000000E+00  0.000000000000000E+00 0
  30       1.45       1.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544031009E+00  6.7687821599956371E-02 78369133
#=====================================================================================
