# title = cross section scan
# xlabel = $xsec$
# ylabel = $\frac{\text{d}\sigma}{\text{d}xsec}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  2.000E+02
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       1.00       2.00  0.000000000000000E+00  0.000000000000000E+00 0
   3       2.00       3.00  0.000000000000000E+00  0.000000000000000E+00 0
   4       3.00       4.00  0.000000000000000E+00  0.000000000000000E+00 0
   5       4.00       5.00  0.000000000000000E+00  0.000000000000000E+00 0
   6       5.00       6.00  0.000000000000000E+00  0.000000000000000E+00 0
   7       6.00       7.00  0.000000000000000E+00  0.000000000000000E+00 0
   8       7.00       8.00  0.000000000000000E+00  0.000000000000000E+00 0
   9       8.00       9.00  0.000000000000000E+00  0.000000000000000E+00 0
  10       9.00      10.00  0.000000000000000E+00  0.000000000000000E+00 0
  11      10.00      11.00  0.000000000000000E+00  0.000000000000000E+00 0
  12      11.00      12.00  0.000000000000000E+00  0.000000000000000E+00 0
  13      12.00      13.00  0.000000000000000E+00  0.000000000000000E+00 0
  14      13.00      14.00  0.000000000000000E+00  0.000000000000000E+00 0
  15      14.00      15.00  0.000000000000000E+00  0.000000000000000E+00 0
  16      15.00      16.00  0.000000000000000E+00  0.000000000000000E+00 0
  17      16.00      17.00  0.000000000000000E+00  0.000000000000000E+00 0
  18      17.00      18.00  0.000000000000000E+00  0.000000000000000E+00 0
  19      18.00      19.00  0.000000000000000E+00  0.000000000000000E+00 0
  20      19.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
  21      20.00      21.00  0.000000000000000E+00  0.000000000000000E+00 0
  22      21.00      22.00  0.000000000000000E+00  0.000000000000000E+00 0
  23      22.00      23.00  0.000000000000000E+00  0.000000000000000E+00 0
  24      23.00      24.00  0.000000000000000E+00  0.000000000000000E+00 0
  25      24.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
  26      25.00      26.00  0.000000000000000E+00  0.000000000000000E+00 0
  27      26.00      27.00  0.000000000000000E+00  0.000000000000000E+00 0
  28      27.00      28.00  0.000000000000000E+00  0.000000000000000E+00 0
